Altium Designer Pick and Place Locations
C:\hw\LEAKCAM\Project Outputs for LEAKCAM\Pick Place for MIFA.csv

========================================================================================================================
File Design Information:

Date:       24/09/26
Time:       19:26
Revision:   2b8335e65faaf93c505752e9dbd735af0ed1dd77
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"CB2","100n 0201","BottomLayer","CAP_0201","1493.462","448.611","180","C2903663"
"CB1","10uF GRM188R61A106ME69D","BottomLayer","FP-GRM188-0_15-MFG","1351.134","423.159","180","C19702"
"LED15","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","807.087","1417.323","270","C19185834"
"LED13","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","807.087","1220.522","90","C3646951"
"LED11","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","570.866","1417.323","270","C19185834"
"LED9","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","570.866","1220.522","90","C3646951"
"LED7","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","334.646","1417.323","270","C19185834"
"LED5","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","334.646","1220.522","90","C3646951"
"LED3","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","98.425","1417.323","270","C19185834"
"LED2","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","98.425","1220.522","90","C3646951"
"J12","Connector 2PIn","TopLayer","CON_2P","866.228","1764.522","270",""
"J11","Connector 2PIn","TopLayer","CON_2P","748.118","1764.522","270",""
"J10","Connector 2PIn","TopLayer","CON_2P","630.008","1764.522","270",""
"J9","Connector 2PIn","TopLayer","CON_2P","511.897","1764.522","270",""
"J8","Connector 2PIn","TopLayer","CON_2P","393.787","1764.522","270",""
"J7","Connector 2PIn","TopLayer","CON_2P","275.667","1764.522","270",""
"J6","Connector 2PIn","TopLayer","CON_2P","157.567","1764.522","270",""
"J3","Connector 2PIn","TopLayer","CON_2P","39.447","1764.522","270",""
"LED16","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","98.425","2283.465","90","C19185834"
"LED14","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","807.087","2283.465","90","C19185834"
"LED12","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","807.087","2480.365","90","C3646951"
"LED10","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","570.866","2283.465","90","C19185834"
"LED8","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","570.866","2480.365","90","C3646951"
"LED6","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","334.646","2283.465","90","C19185834"
"LED4","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","334.646","2480.365","90","C3646951"
"LED1","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","98.425","2480.365","90","C3646951"
"RD2","1.5k","BottomLayer","RES_0402","2114.683","275.968","180","C25867"
"RD1","1.5k","TopLayer","RES_0402","2043.585","462.074","90","C25867"
"RBT1","10k","BottomLayer","RES_0402","1540.770","1509.935","90","C25744"
"R52","240R","BottomLayer","RES_0402","1594.248","1378.054","270","C324768"
"C9","100n","BottomLayer","CAP_0402","1585.289","1254.825","180","C307331"
"C4","10uF GRM188R61A106ME69D","BottomLayer","FP-GRM188-0_15-MFG","1605.534","1303.138","0","C19702"
"RB4","47k","TopLayer","RES_0402","1176.255","1280.150","90","C25792"
"RB3","47k","TopLayer","RES_0402","1260.827","1199.557","90","C25792"
"RB2","47k","TopLayer","RES_0402","2145.429","432.931","90","C25792"
"RB1","47k","TopLayer","RES_0402","2146.083","500.039","90","C25792"
"USBC2","type-c-31-m-12","TopLayer","TYPE-C-31-M-12","1124.054","716.738","270","C165948"
"C90","10uF GRM188R61A106ME69D","BottomLayer","FP-GRM188-0_15-MFG","1437.008","1692.913","270","C19702"
"JT","Connector 2PIn","TopLayer","CON_2P","2332.468","1069.395","270",""
"JB2","Connector 2PIn","TopLayer","CON_2P","2332.942","1192.136","270",""
"JB1","Connector 2PIn","TopLayer","CON_2P","2332.409","1322.984","90",""
"J1","Connector 2PIn","TopLayer","CON_2P","1712.512","1140.990","90",""
"J2","Connector 2PIn","TopLayer","CON_2P","1696.565","1339.997","180",""
"Y3","Q13FC13500004","TopLayer","FP-ABS07-MFG","1200.787","1397.638","0","C32346"
"Y2","XL7EL89CKI-111YLC-24M","TopLayer","FP-XRCGB_F_N-MFG","1524.376","915.812","0","C2965580"
"Y1","Q13FC13500004","TopLayer","FP-ABS07-MFG","1680.047","911.285","180","C32346"
"USBC1","type-c-31-m-12","TopLayer","TYPE-C-31-M-12","2198.190","804.391","90","C165948"
"U17","AHT20","BottomLayer","AHT30","1480.182","1256.788","180","C2757850"
"U16","w25n02kvzeir","TopLayer","w25n02","1126.530","291.845","270","C17626844"
"U15","TPS61161DRVR","BottomLayer","TPS61160ADRVT","1756.717","1470.986","0","C324075"
"U14","TPS61161DRVR","BottomLayer","TPS61160ADRVT","1889.764","1181.102","0","C324075"
"U13","msm381acb026","TopLayer","mems","2266.365","121.560","0","C51928208"
"U10","TPS63802DLAR","BottomLayer","FP-DLA0010A-MFG","2044.291","1692.913","0","C2845237"
"U8","TPS63802DLAR","BottomLayer","FP-DLA0010A-MFG","1847.441","1692.913","0","C2845237"
"U7","TPS62823DLCR","BottomLayer","FP-DLC0008A-MFG","2266.151","1678.372","180","C2693497"
"U6","TPS62823DLCR","BottomLayer","FP-DLC0008A-MFG","2264.378","1436.794","180","C2693497"
"U5","TPS63802DLAR","BottomLayer","FP-DLA0010A-MFG","2077.861","1437.643","0","C2845237"
"U3","k230d","TopLayer","K230D","1697.808","563.981","0","C42414902"
"U2","ch340x","TopLayer","ch340x","1379.353","516.861","180","C3035748"
"U1","BQ24072TRGTR","TopLayer","RGT0016C_V","2208.662","1171.260","180","C129319"
"S2","S2B-PH-K-S(LF)(SN)","BottomLayer","JST-S2B-PH-K-S_V","1219.435","1228.381","90","C157932"
"S1","S2B-PH-K-S(LF)(SN)","BottomLayer","JST-S2B-PH-K-S_V","2104.727","462.214","270","C157932"
"R74","4.7k","BottomLayer","RES_0402","1375.945","1230.978","270","C25900"
"R73","4.7k","BottomLayer","RES_0402","1502.168","1154.070","0","C25900"
"R71","1M","TopLayer","RES_0402","1724.380","1764.687","90","C26083"
"R70","10k","TopLayer","RES_0402","1001.481","1696.656","0","C25744"
"R69","20k","BottomLayer","RES_0402","1952.872","1655.484","90","C25765"
"R68","1.5R","BottomLayer","FP-SR0603-MFG","1671.709","1476.525","270","C22769"
"R67","10k","TopLayer","RES_0402","1803.939","1299.070","0","C25744"
"R66","3R","BottomLayer","FP-SR0603-MFG","1799.443","1191.518","270","C23157"
"R65","10k","TopLayer","RES_0402","1001.053","1749.884","0","C25744"
"R64","10k","BottomLayer","RES_0402","1450.024","694.534","90","C25744"
"R63","30k","BottomLayer","RES_0402","1501.787","525.665","180","C49653548"
"R62","200R","BottomLayer","RES_0402","1514.556","577.420","180","C25087"
"R61","100k","BottomLayer","RES_0402","1417.563","967.369","90","C25741"
"R60","100k","TopLayer","RES_0402","1704.725","1033.705","0","C25741"
"R59","200k","BottomLayer","RES_0402","1417.563","1043.167","90","C25764"
"R58","100k","BottomLayer","RES_0402","1476.618","1043.167","90","C25741"
"R56","51k","BottomLayer","RES_0402","1960.407","1723.793","90","C25794"
"R55","91k","BottomLayer","RES_0402","1753.985","1657.856","90","C54920709"
"R53","100k","BottomLayer","RES_0402","1440.867","599.656","180","C25741"
"R51","100k","BottomLayer","RES_0402","2164.952","1556.009","180","C25741"
"R50","511k","BottomLayer","RES_0402","1763.430","1725.898","90","C49655223"
"R49","100k","BottomLayer","RES_0402","2323.478","1524.157","180","C25741"
"R48","240R","BottomLayer","RES_0402","1685.810","776.114","90","C324768"
"R47","240R","BottomLayer","RES_0402","1747.180","788.487","0","C324768"
"R46","240R","BottomLayer","RES_0402","1766.287","827.978","180","C324768"
"R45","100k","BottomLayer","RES_0402","1664.230","841.295","0","C25741"
"R42","22R","TopLayer","RES_0402","1288.936","348.652","180","C25092"
"R41","10k","BottomLayer","RES_0402","1178.289","138.035","180","C25744"
"R40","10k","BottomLayer","RES_0402","1101.138","419.431","270","C25744"
"R39","10k","BottomLayer","RES_0402","1200.547","419.431","270","C25744"
"R37","200R","TopLayer","RES_0402","1984.392","406.256","180","C25087"
"R36","10k","TopLayer","RES_0402","1654.523","1688.145","90","C25744"
"R34","10k","TopLayer","RES_0402","1708.392","1688.145","90","C25744"
"R33","240R","BottomLayer","RES_0402","1808.517","788.812","0","C324768"
"R31","10k","BottomLayer","RES_0402","1450.024","786.176","90","C25744"
"R30","100k","TopLayer","RES_0402","1516.335","1452.843","180","C25741"
"R29","120k","BottomLayer","RES_0402","2324.260","1768.858","180","C25750"
"R27","100k","TopLayer","RES_0402","1956.270","1593.361","180","C25741"
"R26","100k","BottomLayer","RES_0402","2262.864","1768.508","180","C25741"
"R25","33k","BottomLayer","RES_0402","2259.162","1525.034","180","C25779"
"R24","91k","BottomLayer","RES_0402","1984.872","1409.796","90","C54920709"
"R23","100k","TopLayer","RES_0402","1658.967","1763.405","90","C25741"
"R22","511k","BottomLayer","RES_0402","1995.698","1476.385","90","C49655223"
"R21","47k","TopLayer","RES_0402","2269.485","1044.079","90","C25792"
"R20","100k","BottomLayer","RES_0402","1440.286","640.195","0","C25741"
"R18","4.7k","BottomLayer","RES_0402","2009.263","219.820","90","C25900"
"R17","4.7k","BottomLayer","RES_0402","2070.827","219.057","90","C25900"
"R16","10k","BottomLayer","RES_0402","2130.683","218.569","90","C25744"
"R15","4.7k","BottomLayer","RES_0402","1267.494","236.583","90","C25900"
"R14","4.7k","BottomLayer","RES_0402","1266.585","165.891","270","C25900"
"R13","10k","BottomLayer","RES_0402","1265.783","95.494","90","C25744"
"R12","1.5k","BottomLayer","RES_0402","2180.258","1279.528","0","C25867"
"R11","5.1k","BottomLayer","RES_0402","1157.669","659.908","0","C25905"
"R10","10k","BottomLayer","RES_0402","1370.260","527.952","0","C25744"
"R9","5.1k","BottomLayer","RES_0402","2176.723","871.801","180","C25905"
"R8","100k","BottomLayer","RES_0402","2151.997","1138.455","270","C25741"
"R7","1k","BottomLayer","RES_0402","2241.613","1130.552","270","C11702"
"R6","100k","BottomLayer","RES_0402","1561.868","790.114","0","C25741"
"R5","1.5k","BottomLayer","RES_0402","2091.772","1086.570","270","C25867"
"R4","5.1k","BottomLayer","RES_0402","2172.081","749.044","180","C25905"
"R3","10k","TopLayer","RES_0402","1943.898","1063.232","0","C25744"
"R2","10k","BottomLayer","RES_0402","1438.731","490.380","180","C25744"
"R1","5.1k","BottomLayer","RES_0402","1154.970","764.996","0","C25905"
